repo_name_with_owner,stars,total_pr,total_pr_reviews,total_repository_files,analysis_time,number_characters_description,number_participants,total_comments_pr,total_rows_added,total_rows_removed,grand_total_rows_added_and_removed,index
redis/redis,64756,6031,1,26,0.025277777777777777,0,1,0,3705,3575,281580,69
vitejs/vite,64639,5512,39,26,4.456388888888889,0,2,0,2211,1818,78246,70
anuraghazra/github-readme-stats,64636,2020,126,30,70.2063888888889,96,4,5,333,1301,64718,71
nestjs/nest,64250,7852,62,33,567.7025,0,3,3,10912,12109,708266,72
fighting41love/funNLP,63805,23,4,3,23.05666666666667,83,2,0,924676,248416,44123726,73
nomic-ai/gpt4all,63778,656,63,17,0.15777777777777777,38,1,0,5227,3440,237626,74
MunGell/awesome-for-beginners,63681,1117,3,5,74.2025,0,2,1,3590,1325,114659,75
bregman-arie/devops-exercises,63347,341,49,18,1.0486111111111112,0,2,0,1755,684,46577,76
FuelLabs/sway,63234,3105,301,37,27.643055555555556,131,3,1,15553,9127,635743,77
rustdesk/rustdesk,62646,2780,20,23,0.03611111111111111,78,2,0,1803,856,79268,78
leonardomso/33-js-concepts,61808,369,2,9,0.9369444444444445,0,1,0,1359,869,45216,79
microsoft/playwright,61557,13913,87,24,17.033333333333335,0,2,0,5535,2130,273434,80
kdn251/interviews,61524,87,58,12,3670.2816666666668,32,1,1,8194,889,219361,81
twitter/the-algorithm,61337,335,65,29,0.8069444444444445,809,6,11,635893,5491,4992388,82
2dust/v2rayN,61085,263,19,5,0.5066666666666667,134,1,0,1803,1510,97461,83
Anduin2017/HowToCook,60063,651,111,16,0.2838888888888889,0,2,0,1074,193,33340,84
openai/whisper,60052,163,53,19,74.61416666666666,187,3,2,108568,102650,2461201,85
hoppscotch/hoppscotch,60023,2241,64,38,4.5505555555555555,982,3,3,13978,11029,373906,86
strapi/strapi,59878,9942,107,41,0.20333333333333334,48,2,1,8726,15086,828267,87
python/cpython,59518,48684,272,36,0.6172222222222222,114,3,1,1791,437,63968,88
adam-p/markdown-here,59490,57,2,15,9928.556388888888,0,3,2,3195,20627,753782,89
